A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-66.28199506635855,-64.28199506635855,-66.28199506635855,0.0060851873133797195,0.006508291366044432,0.00853963265242055,-196.84598519907564,1.0,1.0,1.0,-84.37123107910156,-84.6426887512207,-85.75759506225586,0.5135489702224731,0.7213459014892578,0.48814111948013306,-1.2547192573547363,-1.2912883758544922,-1.2856111526489258,-42.85689163208008,-42.308197021484375,-42.61817932128906,210,5275
-64.74577696719751,-65.24577696719751,-65.24577696719751,0.009529586394899524,0.00894704671157524,0.006848573490045965,-195.23733090159254,1.0,1.0,1.0,-86.15416717529297,-85.15131378173828,-86.40381240844727,0.45425519347190857,0.42928314208984375,0.4293445944786072,-1.2681877613067627,-1.2709846496582031,-1.304950475692749,-43.49764633178711,-42.79527282714844,-42.77803039550781,215,5400
-66.37447963185005,-65.57447963185005,-66.17447963185006,0.008274657321977429,0.010746309777721763,0.007174985522171482,-198.12343889555018,1.0,1.0,1.0,-86.06068801879883,-86.13608932495117,-87.03403854370117,0.7385632991790771,0.42764371633529663,0.4826435148715973,-1.2371697425842285,-1.2807085514068604,-1.2912259101867676,-43.221370697021484,-43.5011100769043,-43.30952072143555,220,5525
-63.61459515021712,-64.31459515021712,-64.31459515021712,0.006757216778118164,0.00568151252437383,0.00642618525098078,-192.2437854506514,1.0,1.0,1.0,-86.98355865478516,-87.04562377929688,-86.34001159667969,0.5647006630897522,0.4373464584350586,0.5832417011260986,-1.3198128938674927,-1.2518908977508545,-1.2657513618469238,-44.09785461425781,-43.435508728027344,-43.007293701171875,225,5650
-68.09586049231521,-68.7958604923152,-67.59586049231521,0.008050677772145718,0.00733148930198513,0.005350602560443804,-204.48758147694562,1.0,1.0,1.0,-87.85572814941406,-87.32429504394531,-87.01045608520508,0.48106634616851807,0.5243151187896729,0.46888214349746704,-1.318528175354004,-1.263857126235962,-1.2870550155639648,-44.31644058227539,-43.69804763793945,-43.28855895996094,230,5775
-70.37657157204129,-69.57657157204127,-69.97657157204128,0.005822919284109957,0.00611187711392995,0.010584473049268127,-209.9297147161238,1.0,1.0,1.0,-87.75631713867188,-88.91943359375,-88.85013580322266,0.48610013723373413,0.4507356584072113,0.5119699835777283,-1.2652561664581299,-1.281085729598999,-1.3002145290374756,-44.462135314941406,-44.88347625732422,-44.15644836425781,235,5900
-66.10641053236516,-65.90641053236516,-65.80641053236516,0.008181651096791028,0.010112384957261383,0.008363461685366929,-197.81923159709547,1.0,1.0,1.0,-88.7764778137207,-89.10565567016602,-87.72883605957031,0.46383795142173767,0.509197473526001,0.5132675170898438,-1.2889788150787354,-1.274278163909912,-1.28375244140625,-44.710365295410156,-44.86675262451172,-43.78022003173828,240,6025
-73.48899555024181,-73.3889955502418,-74.3889955502418,0.004795803246437572,0.006465753809083253,0.0062049558964790774,-221.2669866507254,1.0,1.0,1.0,-89.17743682861328,-89.18139266967773,-88.85818099975586,0.4412551522254944,0.6385504603385925,0.5575925707817078,-1.249171257019043,-1.2588024139404297,-1.281555414199829,-44.86009216308594,-45.02902603149414,-44.159481048583984,245,6150
-67.5386398334402,-67.5386398334402,-67.93863983344019,0.006480107104638592,0.005921244788914919,0.005839443564414978,-203.0159195003206,1.0,1.0,1.0,-90.04990768432617,-90.41320419311523,-90.30375671386719,0.46903789043426514,0.47238320112228394,0.5193262100219727,-1.2661933898925781,-1.2617193460464478,-1.2610777616500854,-45.34273147583008,-45.523799896240234,-45.06316375732422,250,6275
-64.25010858763986,-65.05010858763984,-63.85010858763985,0.00547013428225182,0.004842282844008878,0.005280759801389649,-193.15032576291955,1.0,1.0,1.0,-90.65827560424805,-90.51895904541016,-89.84111785888672,0.6681575775146484,0.4232456684112549,0.5591785907745361,-1.2560638189315796,-1.298430323600769,-1.293801188468933,-45.676883697509766,-45.8898811340332,-44.66884231567383,255,6400
