A1 Return,A2 Return,A3 Return,Total Return,total_episode,total_numsteps
-70.74658106774,-70.14658106774,-70.54658106774,-211.43974320322,3010,75275
-66.49234420970393,-67.89234420970392,-65.39234420970394,-199.77703262911177,3020,75525
-69.51472633643749,-70.51472633643749,-69.81472633643749,-209.84417900931248,3030,75775
-63.203449129559715,-65.20344912955971,-65.50344912955971,-193.91034738867916,3040,76025
-66.28876761038788,-65.88876761038787,-65.88876761038787,-198.06630283116365,3050,76275
-68.0764672592667,-67.9764672592667,-64.17646725926672,-200.2294017778001,3060,76525
-71.43437430952723,-72.03437430952724,-70.83437430952723,-214.3031229285817,3070,76775
-66.8429301535688,-67.0429301535688,-67.14293015356881,-201.02879046070643,3080,77025
-70.67756864571268,-70.47756864571268,-70.37756864571267,-211.53270593713805,3090,77275
-69.86004359206953,-69.06004359206953,-70.16004359206953,-209.0801307762086,3100,77525
-75.24562701178056,-74.04562701178055,-74.34562701178055,-223.63688103534164,3110,77775
-67.47822636819691,-67.3782263681969,-67.77822636819691,-202.6346791045907,3120,78025
-74.81453318754049,-75.2145331875405,-74.4145331875405,-224.4435995626215,3130,78275
-79.57874283449937,-79.67874283449937,-79.17874283449937,-238.4362285034981,3140,78525
-71.31648323013312,-71.61648323013311,-70.61648323013311,-213.54944969039934,3150,78775
-74.12342245884541,-74.02342245884542,-74.22342245884542,-222.37026737653622,3160,79025
-70.93680860993483,-70.33680860993482,-70.63680860993483,-211.9104258298045,3170,79275
-69.97287873133226,-69.87287873133225,-69.27287873133226,-209.11863619399674,3180,79525
-78.71536977238566,-78.21536977238566,-77.91536977238566,-234.84610931715696,3190,79775
-64.28903466885431,-65.78903466885433,-65.78903466885433,-195.86710400656293,3200,80025
-63.93279788183387,-64.53279788183387,-64.63279788183387,-193.09839364550163,3210,80275
-64.8365690772111,-65.5365690772111,-65.7365690772111,-196.10970723163328,3220,80525
-68.33064641213232,-67.03064641213231,-67.43064641213232,-202.79193923639696,3230,80775
-73.10807786415423,-73.10807786415423,-72.90807786415422,-219.12423359246267,3240,81025
-68.92562226336693,-69.12562226336694,-68.02562226336694,-206.0768667901008,3250,81275
-69.73198717315496,-71.73198717315496,-72.03198717315496,-213.49596151946488,3260,81525
-75.13203930117803,-74.93203930117804,-74.23203930117803,-224.2961179035341,3270,81775
-64.57084041650685,-63.47084041650686,-64.67084041650686,-192.71252124952056,3280,82025
-74.08639107723187,-74.28639107723185,-71.98639107723186,-220.3591732316956,3290,82275
-70.58897663719624,-69.48897663719625,-70.58897663719624,-210.6669299115887,3300,82525
-70.18158011422345,-70.78158011422344,-70.18158011422345,-211.14474034267033,3310,82775
-75.84717529468014,-75.74717529468015,-75.94717529468014,-227.5415258840404,3320,83025
-65.47889247403205,-66.27889247403206,-66.17889247403207,-197.93667742209618,3330,83275
